Date,DAU
2023-03-27,19738
2023-03-28,22073
2023-03-29,25784
2023-03-30,25404
2023-03-31,37074
2023-04-01,28884
2023-04-02,32305
2023-04-03,30059
2023-04-04,25971
2023-04-05,31498
2023-04-06,25266
2023-04-07,23080
2023-04-08,21132
2023-04-09,24794
2023-04-10,24471
2023-04-11,32504
2023-04-12,33958
2023-04-13,26289
2023-04-14,34765
2023-04-15,29481
2023-04-16,22662
2023-04-17,24772
2023-04-18,41659
2023-04-19,30176
2023-04-20,35443
2023-04-21,34643
2023-04-22,22903
2023-04-23,22125
2023-04-24,24865
2023-04-25,54085
2023-04-26,60312
2023-04-27,26017
2023-04-28,24988
2023-04-29,17832
2023-04-30,24708
2023-05-01,19178
2023-05-02,21612
2023-05-03,27222
2023-05-04,44700
2023-05-05,42000
2023-05-06,33005
2023-05-07,33961
2023-05-08,53840
2023-05-09,45778
2023-05-10,24876
2023-05-11,30792
2023-05-12,35242
2023-05-13,43250
2023-05-14,29137
2023-05-15,32257
2023-05-16,35374
2023-05-17,61810
2023-05-18,32521
2023-05-19,26193
2023-05-20,29719
2023-05-21,18269
2023-05-22,20864
2023-05-23,33141
2023-05-24,36140
2023-05-25,21299
2023-05-26,18297
2023-05-27,33381
2023-05-28,17171
2023-05-29,19653
2023-05-30,20284
2023-05-31,39523
2023-06-01,32799
2023-06-02,27628
2023-06-03,24359
2023-06-04,25148
2023-06-05,32671
2023-06-06,72277
2023-06-07,45142
2023-06-08,32866
2023-06-09,39665
2023-06-10,45166
2023-06-11,19460
2023-06-12,24056
2023-06-13,25181
2023-06-14,31286
2023-06-15,33274
2023-06-16,27951
2023-06-17,17802
2023-06-18,20163
2023-06-19,22263
2023-06-20,41235
2023-06-21,75554
2023-06-22,57308
2023-06-23,52662
2023-06-24,58084
2023-06-25,99253
2023-06-26,52141
2023-06-27,28054
2023-06-28,33418
2023-06-29,25495
2023-06-30,33249
2023-07-01,52109
2023-07-02,44701
2023-07-03,58256
2023-07-04,66163
2023-07-05,32076
2023-07-06,42433
2023-07-07,34498
2023-07-08,26475
2023-07-09,27118
2023-07-10,159453
2023-07-11,79289
2023-07-12,40352
2023-07-13,45476
2023-07-14,33844
2023-07-15,37707
2023-07-16,40553
2023-07-17,31133
2023-07-18,34167
2023-07-19,50446
2023-07-20,54884
2023-07-21,24104
2023-07-22,23483
2023-07-23,24110
2023-07-24,30384
2023-07-25,41707
2023-07-26,82505
2023-07-27,43451
2023-07-28,46556
2023-07-29,26657
2023-07-30,28011
2023-07-31,57317
2023-08-01,61263
2023-08-02,63769
2023-08-03,37679
2023-08-04,23431
2023-08-05,22939
2023-08-06,42088
2023-08-07,43589
2023-08-08,48431
2023-08-09,30340
2023-08-10,31315
2023-08-11,108269
2023-08-12,49886
2023-08-13,19791
2023-08-14,90920
2023-08-15,122687
2023-08-16,31405
2023-08-17,27326
2023-08-18,38528
2023-08-19,73837
2023-08-20,62396
2023-08-21,61665
2023-08-22,48254
2023-08-23,29716
2023-08-24,29723
2023-08-25,35989
2023-08-26,23237
2023-08-27,17820
2023-08-28,34188
2023-08-29,55627
2023-08-30,23617
2023-08-31,23315
2023-09-01,26796
2023-09-02,22636
2023-09-03,20891
2023-09-04,24436
2023-09-05,29383
2023-09-06,61547
2023-09-07,24060
2023-09-08,58257
2023-09-09,15581
2023-09-10,18726
2023-09-11,22105
2023-09-12,40512
2023-09-13,25533
2023-09-14,20623
2023-09-15,29745
2023-09-16,15082
2023-09-17,15659
2023-09-18,39452
2023-09-19,19181
2023-09-20,20468
2023-09-21,24054
2023-09-22,40466
2023-09-23,14943
2023-09-24,15571
2023-09-25,19978
2023-09-26,54732
2023-09-27,58473
