Timestamp,Date,USDT,KUSD,USDTZ,UUSD,EURL,VEUR,Total
1667174400,2022-10-31,60789085,1629770,696117,12718264,5086279,,80919515
1667260800,2022-11-01,60777930,1634917,693767,12842215,5086279,,81035108
1667347200,2022-11-02,60768206,1621866,690218,12642962,5086279,,80809531
1667433600,2022-11-03,60773993,1652771,704370,12679727,5049315,,80860176
1667520000,2022-11-04,60783823,1641473,694174,12547754,5049315,,80716539
1667606400,2022-11-05,60776948,1629105,709301,12853704,5136525,,81105583
1667692800,2022-11-06,60791781,1588464,692336,12482978,5136525,,80692084
1667779200,2022-11-07,60777930,1609149,688691,12480918,5136525,,80693213
1667865600,2022-11-08,60780969,1629735,702365,12744526,5154035,,81011630
1667952000,2022-11-09,60799612,1537146,699719,12421800,5154035,,80612312
1668038400,2022-11-10,60730664,1509774,706816,12429897,5243692,,80620843
1668124800,2022-11-11,60680685,1444719,596636,12006146,5243692,,79971878
1668211200,2022-11-12,60653335,1446275,602437,12032925,5243692,,79978664
1668297600,2022-11-13,60674608,1438327,596468,12086242,5330993,,80126638
1668384000,2022-11-14,60703974,1397459,584720,11754514,5330993,,79771660
1668470400,2022-11-15,60692841,1377039,597773,11874849,5328945,,79871447
1668556800,2022-11-16,60717152,1388452,599720,11924992,5328945,,79959261
1668643200,2022-11-17,60723230,1347815,595385,11814114,5328945,,79809489
1668729600,2022-11-18,60735385,1345782,597266,11524387,4501844,,78704664
1668816000,2022-11-19,60717152,1351250,598857,11876848,4495119,,79039226
1668902400,2022-11-20,60744502,1338262,598236,11688294,5436559,,79805853
1668988800,2022-11-21,60704996,1324219,587460,11670086,4495119,,78781880
1669075200,2022-11-22,60717152,1348375,522567,12093932,4451694,,79133720
1669161600,2022-11-23,60739825,1324004,519985,11585814,4451694,,78621322
1669248000,2022-11-24,60704996,1337891,515933,11525312,4522170,,78606302
1669334400,2022-11-25,60730843,1306071,506203,11131248,5469275,,79143640
1669420800,2022-11-26,60761876,1337872,518436,11577534,5469275,,79664993
1669507200,2022-11-27,60748467,1320495,507195,11346332,5472818,,79395307
1669593600,2022-11-28,60744502,1319403,510873,11353894,5435536,,79364208
1669680000,2022-11-29,40761619,1327388,517919,11362205,5435536,,59404667
1669766400,2022-11-30,40761619,1309837,509025,11316396,5435536,,59332413
1669852800,2022-12-01,40777930,1339927,512409,11360489,5468543,,59459298
1669939200,2022-12-02,40782008,1343717,512901,11346892,5468543,,59454061
1670025600,2022-12-03,40783231,1338322,510561,11268944,5526917,,59427975
1670112000,2022-12-04,40783639,1360771,504047,11229394,5526917,,59404768
1670198400,2022-12-05,40781600,1369250,510406,11296787,5526917,,59484960
1670284800,2022-12-06,40781192,1381678,509442,12327372,5510694,,60510378
1670371200,2022-12-07,40777930,1372449,511643,12369050,5518816,,60549888
1670457600,2022-12-08,40776299,1378014,511007,12306743,5518816,,60490879
1670544000,2022-12-09,40777930,1383714,509992,12312335,5518816,,60502787
1670630400,2022-12-10,40777930,1368274,506034,12183185,5537058,,60372481
1670716800,2022-12-11,40777930,1378369,509435,12262363,5537058,,60465155
1670803200,2022-12-12,40777930,1401508,506977,12108518,5534250,,60329183
1670889600,2022-12-13,40786086,1373381,505161,12199056,5534250,,60397934
1670976000,2022-12-14,40777930,1396604,514355,12415018,5534250,,60638157
1671062400,2022-12-15,40780946,1370502,507126,12142550,4750888,,59552012
1671148800,2022-12-16,40777930,1374836,511441,12280825,4750888,,59695920
1671235200,2022-12-17,40780438,1329239,512568,12287259,4714552,,59624056
1671321600,2022-12-18,40786086,1340106,512364,12229550,4714552,,59582658
1671408000,2022-12-19,40782823,1328419,509436,12071455,4714552,,59406685
1671494400,2022-12-20,40779561,1287533,519469,12120233,4722473,,59429269
1671580800,2022-12-21,40777930,1294576,453622,12132683,4722473,,59381284
1671667200,2022-12-22,40777930,1274354,446914,11911025,4717561,,59127784
1671753600,2022-12-23,40775925,1336065,461893,12269018,4717561,,59560462
1671840000,2022-12-24,40777930,1309123,450932,12016263,4717561,,59271809
1671926400,2022-12-25,40777930,1310983,451380,11943276,4746884,,59230453
1672012800,2022-12-26,40777930,1291654,449371,11856405,4734576,,59109936
1672099200,2022-12-27,40778206,1293653,450564,11979810,4734576,,59236809
1672185600,2022-12-28,40765697,1309509,452645,12019835,4521787,,59069473
1672272000,2022-12-29,40761619,1304411,457789,11968402,4517278,,59009499
1672358400,2022-12-30,40762434,1307802,460525,12049781,4517278,,59097820
1672444800,2022-12-31,40757543,1273778,455172,11813585,4558760,,58858838
1672531200,2023-01-01,40766138,1259427,449099,11693778,4558760,,58727202
1672617600,2023-01-02,40761619,1262083,447997,11539188,4558760,,58569647
1672704000,2023-01-03,40763658,1284538,453760,11663506,4537597,,58703059
1672790400,2023-01-04,40763453,1289327,455114,11793521,4537597,,58839012
1672876800,2023-01-05,40765697,1265814,456421,11782884,4471547,,58742363
1672963200,2023-01-06,40761619,1265541,457333,11761591,4471547,,58717631
1673049600,2023-01-07,40764677,1273596,461893,12011371,4471547,,58983084
1673136000,2023-01-08,40767336,1256797,451209,11696265,4531989,,58703596
1673222400,2023-01-09,40784213,1289287,458245,11759153,4531989,,58822887
1673308800,2023-01-10,40777930,1288844,454002,11753018,4563871,,58837665
1673395200,2023-01-11,40776924,1270376,451206,11671304,4563871,,58733681
1673481600,2023-01-12,40778338,1299849,461437,11956180,4563871,,59059675
1673568000,2023-01-13,40781042,1274096,455374,11864584,4615456,,58990552
1673654400,2023-01-14,40781364,1308650,460981,11973372,4608490,,59132857
