Timestamp,Date,USDT,USDC,BUSD,DAI,FRAX,TUSD,USN,Total
1664755200,2022-10-03,106095690,43402041,102,12314664,,20558,116305010,278138065
1664841600,2022-10-04,103299244,43424030,102,12314305,,20543,116569061,275627285
1664928000,2022-10-05,102671311,41034812,102,12321674,,20554,115219541,271267994
1665014400,2022-10-06,102555428,41204617,102,12322373,,20570,114984326,271087416
1665100800,2022-10-07,104410223,41155180,102,12322007,,20560,115940493,273848565
1665187200,2022-10-08,103936441,41207681,102,12296317,,20547,116060531,273521619
1665273600,2022-10-09,103359176,41091336,102,12245081,,20558,116317108,273033361
1665360000,2022-10-10,103595562,41103490,102,12195689,,20558,116085043,273000444
1665446400,2022-10-11,103583541,40986112,102,12195009,,20566,116327184,273112514
1665532800,2022-10-12,103497499,40745304,102,12195695,,20566,115351938,271811104
1665619200,2022-10-13,102648169,40782363,102,12194948,,20555,115529815,271175952
1665705600,2022-10-14,102355290,40471956,102,12192056,,20568,115217709,270257681
1665792000,2022-10-15,102325023,40384095,102,12191539,,20572,115341298,270262629
1665878400,2022-10-16,102326903,40238011,102,12181031,,20563,115390159,270156769
1665964800,2022-10-17,101007016,40227265,102,11759879,,20558,115189030,268203850
1666051200,2022-10-18,101000219,40190195,102,11744559,,20560,114705855,267661490
1666137600,2022-10-19,100865483,39382395,102,11739263,,20558,114817681,266825482
1666224000,2022-10-20,98215669,38665018,102,11741540,,20558,114382406,263025293
1666310400,2022-10-21,98352125,38055631,102,11739884,,20567,114380016,262548325
1666396800,2022-10-22,98512233,37539679,102,11743699,,20561,114218153,262034427
1666483200,2022-10-23,97522460,35820088,102,10620387,,20561,114369108,258352706
1666569600,2022-10-24,97052707,35467824,102,10620129,,20562,114184528,257345852
1666656000,2022-10-25,85410457,34639319,102,10617521,,20559,58354512,189042470
1666742400,2022-10-26,52688718,32894960,102,7610838,,20560,35589889,128805067
1666828800,2022-10-27,51488059,35806849,102,7420521,,20560,35547049,130283140
1666915200,2022-10-28,60075372,35440975,102,7417942,,20559,35345806,138300756
1667001600,2022-10-29,60118491,36009352,102,7418005,,20563,35205111,138771624
1667088000,2022-10-30,60258202,36081698,102,7417580,,20557,35380989,139159128
1667174400,2022-10-31,59448952,36080801,102,7415500,,20575,35426374,138392304
1667260800,2022-11-01,58406794,36141481,102,7417402,,20560,35552615,137538954
1667347200,2022-11-02,59280680,36015509,102,7422702,,20560,35505859,138245412
1667433600,2022-11-03,57941612,35991436,102,7417730,,20566,35479208,136850654
1667520000,2022-11-04,61666175,36040188,102,7416709,,20560,35279920,140423654
1667606400,2022-11-05,61279923,36098526,102,7415923,,20550,35372252,140187276
1667692800,2022-11-06,61301047,36320755,102,7410864,,20562,35364530,140417860
1667779200,2022-11-07,61147546,36155221,102,7415628,,20566,35289639,140028702
1667865600,2022-11-08,51027851,36261951,102,7415324,,20565,35265550,129991343
1667952000,2022-11-09,50674009,36168559,102,7414748,,20548,35257239,129535205
1668038400,2022-11-10,39405864,35537384,103,7363631,,20541,35538021,117865544
1668124800,2022-11-11,39541573,35570017,103,6660437,,20618,36113763,117906511
1668211200,2022-11-12,38641187,36139000,102,6544787,,20565,35542965,116888606
1668297600,2022-11-13,38445865,35963258,102,6374770,,20560,36044731,116849286
1668384000,2022-11-14,37703327,35841921,102,6271534,,20498,36345241,116182623
