Date,TVL,price,market_cap,total_volume,StablesMCap,StakingRewards,StakedAmount,Liquidity,InterestRate
2022-12-05,62233290.5346645,1.0116094467659766,921257601.2944016,13965579.06601668,59484960.0,5.398296497411839,719844552.9240389,1.515925518160666,3.83
2022-12-06,63598622.11171893,1.011465697816877,917600776.6472508,16750625.73793354,60510378.0,5.398296497411839,719844552.9240389,1.825480771620239,3.83
2022-12-07,63705430.94110125,1.0180831431824546,926322556.3248272,18868833.108550027,60549888.0,5.398296497411839,719844552.9240389,2.036961421236667,3.83
2022-12-08,62710873.49148997,0.9884104332041678,900282883.7191663,20037388.44171537,60490879.0,5.169784916315315,719844552.9240389,2.225676929337893,3.83
2022-12-09,63378227.324751765,1.0078061318191394,917768701.2856684,13841455.873542786,60502787.0,5.163058512403117,719844552.9240389,1.508163860257252,3.83
2022-12-10,63207097.16953696,0.9906440925004492,902721600.5602512,13487686.542853365,60372481.0,5.176670136257918,719844552.9240389,1.4941136375248554,3.83
2022-12-11,63800702.86905743,1.0051220856963277,915222107.757898,9563971.822361056,60465155.0,5.211225141945778,719844552.9240389,1.044989160695733,3.83
2022-12-12,63133941.450963706,0.994788575672017,906929690.5951464,11901400.031758778,60329183.0,5.212198762893047,719844552.9240389,1.312273724763474,3.83
2022-12-13,62332882.01931522,0.958569531577672,874424973.0876532,17925096.421655238,60397934.0,5.414494255211033,723988524.8314923,2.0499296078382256,3.83
2022-12-14,61745578.54238424,0.971848955272454,887034569.8452932,28024924.838433683,60638157.0,5.385007659157675,720629505.8089474,3.1593948861904537,3.83
2022-12-15,63753723.75039558,0.9532137839345792,869181208.3997798,19875376.081924453,59552012.0,5.367776705743436,723284284.566816,2.2866780701018996,4.33
2022-12-16,60674693.71429538,0.9522546150133044,871030553.4868042,39056963.56274939,59695920.0,5.337308217592743,724653516.916385,4.4839946665936425,4.33
2022-12-17,59437994.84327794,0.8417405177664121,766222297.9174606,30520616.486404832,59624056.0,5.310474825642074,728426119.2797779,3.983258718697925,4.33
2022-12-18,57348907.49628346,0.8452375264601376,770893138.8450068,30984895.062604085,59582658.0,5.27428109534038,727756033.9325075,4.019350218764083,4.33
2022-12-19,57022887.73732328,0.8424359505762581,768620781.503705,14316075.240570102,59406685.0,5.23408283886283,728034943.2919878,1.862566767003436,4.33
2022-12-20,55062335.01155783,0.7808132510731927,714510992.7042295,22128459.313227717,59429269.0,5.206408867035563,727822778.3855696,3.0970075393070617,4.33
2022-12-21,56073629.82936348,0.8124691128224005,738149818.3225125,14393346.184414484,59381284.0,5.189002925907796,728033181.2238475,1.9499220655671476,4.33
2022-12-22,56286941.59988998,0.8070923500844203,740642937.8482118,13813414.16768922,59127784.0,5.190487422928323,728015773.0959185,1.8650571634182187,4.33
2022-12-23,56172193.94744246,0.8066790435699266,737194513.7361097,14361684.601262208,59560462.0,5.189490794114216,727762215.2164382,1.948154026333842,4.33
2022-12-24,60113853.25685933,0.8084729809520829,737344467.6565157,12680384.143214822,59271809.0,5.140689697622989,727888377.588708,1.7197367986657015,4.33
2022-12-25,58227929.23892919,0.8020680891372893,733238898.4691321,9714799.204923524,59230453.0,5.067089740792145,728028366.4741261,1.324915961933585,4.33
2022-12-26,55470748.4267903,0.790026673157139,720663894.0520234,10350036.21348158,59109936.0,5.045899306585441,728368068.716446,1.4361807631692494,4.33
2022-12-27,57322990.4176095,0.7999391979929459,729270621.3719367,9874927.240700845,59236809.0,5.066620081995232,727701123.5478966,1.3540826891015694,4.33
2022-12-28,55512076.35203996,0.7752804532268303,706904150.9510565,13783083.286233796,59069473.0,5.086158287364349,727689852.325997,1.9497810654655623,4.33
2022-12-29,54565423.11116626,0.738689743849905,674508015.6319671,17406049.033789083,59009499.0,5.089661488488644,727781087.3923004,2.5805548088973898,4.33
2022-12-30,54262386.09248196,0.7284600510428048,665975500.3642924,14425647.82770781,59097820.0,5.091734848908193,727367888.5046386,2.1660928697552535,4.33
2022-12-31,54016086.73522469,0.7263072899766089,663920363.593188,16330351.88249739,58858838.0,5.0950653013110845,727444011.2843041,2.4596853445067226,4.33
2023-01-01,53105562.73062203,0.7203533805676987,658132249.7792528,11693442.309336238,58727202.0,5.09874693049324,726818815.4304067,1.7767617850756274,4.33
2023-01-02,53180130.8175052,0.7239971378318,661566767.5371182,11196792.299173392,58569647.0,5.100551854961052,726906613.2155675,1.6924659533393474,4.33
2023-01-03,54124588.94644238,0.7432801651157184,679260469.9000643,15425660.689049138,58703059.0,5.202707539088049,726798135.3289155,2.2709492709503065,4.33
2023-01-04,54103833.51379526,0.7572767983230044,692390698.976907,18155373.749782253,58839012.0,5.2025302982966215,725407770.2248359,2.6221284856381035,4.33
2023-01-05,54692869.13004362,0.7679462015031563,704386914.0382401,15702921.5611322,58742363.0,5.198440572467336,725444731.6560488,2.229303419495342,4.33
2023-01-06,54774637.39497541,0.7624998878534125,697060735.9728892,14010607.943798358,58717631.0,5.201231676744977,725893780.0212173,2.009955118795168,4.33
2023-01-07,55505283.42112416,0.7768379684205843,710477467.180195,14364932.17411312,58983084.0,5.283714364739088,725683368.7673559,2.021870198238083,4.33
2023-01-08,57917149.91410762,0.7947555589615259,726574196.7907885,12684661.48462012,58703596.0,5.283695797071464,725784000.3582908,1.7458177761675415,4.33
2023-01-09,56685664.39945119,0.825609148388227,755682277.2177714,13312759.55527624,58822887.0,5.291280167199602,726084285.3171107,1.761687412372619,4.33
2023-01-10,57019715.61488127,0.8322673845149415,762436097.9466115,21473267.01713968,58837665.0,5.291250454979264,726222944.1539224,2.816402197504992,4.33
2023-01-11,56861493.56308969,0.8313593716776265,762267139.2058979,20869231.1435044,58733681.0,5.292222571415784,726033651.6398237,2.737784441979908,4.33
2023-01-12,58844060.58006184,0.8603288827667616,788292223.8964056,24281280.22048146,59059675.0,5.281256859616533,725945566.6478083,3.080238455285386,4.33
2023-01-13,32127962.163962137,0.8897992150889695,816606400.4487816,32998115.24170295,58990552.0,5.288954506899731,725962415.5344372,4.040883738306265,4.33
2023-01-14,62614121.43027338,0.9142004358123198,836302278.9561036,26129689.463950437,59132857.0,5.284844577754667,727619859.5775839,3.1244312160151306,4.33
2023-01-15,63789570.65489026,1.0047677839621982,921044147.729862,64419759.58179128,58980988.0,5.279101888478976,728451328.4542911,6.9942097499419,4.33
2023-01-16,64567234.56041613,1.0259303842553402,937847776.2807612,62087791.15803413,58903587.0,5.267552100372142,728306052.4764411,6.620241869555497,4.33
2023-01-17,63940725.37127084,1.0132589180627132,925752979.6018332,30741596.91488478,58930489.0,5.263630672509864,728859821.4931476,3.320712716269815,4.33
2023-01-18,64699875.66179755,1.021844963258466,936187936.000091,27739117.014271688,58830081.0,5.25915334063211,728988270.8022041,2.96298595053344,4.33
2023-01-19,62687515.09871741,0.95885030484685,876381512.1906074,32896363.055985887,58714034.0,5.240676936857454,729538938.8769108,3.7536578075178677,4.33
2023-01-20,34539612.07375912,0.9970322585141124,911964695.8742684,48319048.73633488,58832528.0,5.251495705918671,725069374.6952004,5.298346411317284,4.33
2023-01-21,67240869.84665391,1.069148229037872,978772606.6582458,27939504.80261453,59096451.0,5.263297237070295,724955501.2639722,2.85454503043423,4.33
2023-01-22,68022990.72298014,1.1057704967637574,1012496648.06632,82389473.0826767,58888574.0,5.100033668381447,725052168.2574435,8.137258848216954,4.33
2023-01-23,37421726.57726151,1.1141793968600224,1021294072.8365498,35327287.57485437,59289079.0,5.152649690527513,725115922.1791826,3.4590710466708274,4.33
2023-01-24,68716086.5975124,1.1197536933058412,1023022764.2041224,32825734.945003133,59016949.0,5.180958306504612,724986781.3067755,3.208700343099448,4.33
2023-01-25,66344560.06907684,1.061520605944278,969380433.020903,34211209.656986214,58737788.0,5.189976133110571,725010850.97464,3.5291830216103106,4.33
2023-01-26,68232061.89314324,1.0989059382890942,1005265427.456125,30997605.38561532,58955116.0,5.187630634762653,724661749.5743203,3.0835244641861728,4.33
2023-01-27,66485603.156395815,1.0953759707370003,1005278350.3882031,26026637.797217477,59137838.0,5.194333676114258,724341579.0567634,2.5889981403824027,4.33
2023-01-28,68918211.6318152,1.1218814570406093,1028411624.492536,30755859.84882416,59142170.0,5.202372353506216,724325351.9813061,2.9906176784028933,4.33
2023-01-29,68455856.41132559,1.101062633006488,1009871826.9157696,24342911.47266989,59148712.0,5.210287019932607,724284387.2529312,2.410495156302668,4.33
2023-01-30,70954946.51442231,1.1659729444096076,1067944816.7535696,64799924.43580403,59155211.0,5.219724854040483,724504671.2937642,6.067722172460971,4.33
2023-01-31,67169780.1447487,1.0594383446043496,969997927.510718,43180506.38014232,59148748.0,5.226301888911885,723696293.3815536,4.451608107138476,4.33
2023-02-01,67406501.12414013,1.0623055274054554,974390862.6592252,26649817.105190672,59146785.0,5.226646441094143,723958217.6992453,2.73502329778219,4.33
2023-02-02,69754427.16646652,1.0978466349853084,1006482792.5140347,32345567.06188181,59175918.0,5.233821469191378,724011246.9247258,3.2137228080261266,4.58
2023-02-03,68934308.61324131,1.096550423593461,1006792085.7391196,35808768.62822409,59185457.0,5.2396557671227,725333226.1285372,3.556719320249292,4.58
2023-02-04,41730197.334571,1.1424361377650962,1049604093.0965068,37297606.29860993,59184014.0,5.246582997538944,725352982.0180255,3.5534928401980386,4.58
2023-02-05,42482278.89765334,1.1661280353012151,1070435872.8902715,36614727.77438917,59153060.0,5.251004360442559,725062253.713718,3.4205437898419984,4.58
2023-02-06,42139700.08429442,1.1843183795542538,1088528744.930884,69930453.92299727,59154410.0,5.256473941401795,724994007.1640013,6.424309348618763,4.58
2023-02-07,41312383.22008417,1.1501812555921935,1053608206.39326,35028927.75031481,59123388.0,5.252446100794327,725289097.9733957,3.324663526513976,4.58
2023-02-08,43300016.67935309,1.2189749326043129,1118464165.866958,34835732.27635326,59135090.0,5.254229545021202,725629501.2306992,3.114604234937733,4.58
2023-02-09,43082658.771100126,1.2209084427157693,1128665673.770604,41511974.42304552,59103083.0,5.242166570019715,725750372.7960869,3.677969073371735,4.57
2023-02-10,38585690.25329545,1.0783136369036062,989914644.6130776,52999248.31961191,59105244.0,5.237310938147629,719660728.5240968,5.353921028244554,4.58
