Date,TVL,price,market_cap,total_volume,StablesMCap,StakingRewards,StakedAmount,Liquidity,InterestRate
2023-05-06,32758797.901883136,1.3090165398164966,691632510.0649327,538600405.4654943,,,5043079440.097262,77.87378378366407,5.08
2023-05-07,36013053.677116245,1.335342073476207,705681473.6859394,314740496.38104,,,5268920710.240207,44.60092947276577,5.08
2023-05-08,35861774.73616449,1.280845070509632,678445018.1349874,213613958.5905251,,,5525698214.992006,31.485817255720967,5.08
2023-05-09,25818061.633900438,1.1456395054118766,599711576.8404514,419512568.2440893,,,5977616409.840561,69.95238785522018,5.08
2023-05-10,21522827.30463496,1.181978912252886,624083328.3731753,237912834.1875021,,,6348559749.292169,38.12196598933025,5.08
2023-05-11,28456415.11260337,1.181598604138486,624301915.0826889,449633752.8284732,,,6414272610.221372,72.021844233638,5.08
2023-05-12,28284769.51952994,1.079040552747943,572336615.2329079,207659511.37651756,,,6534872141.424485,36.28275840643397,5.08
2023-05-13,27970966.45325865,1.1179222265978297,591489222.2425399,266987063.3651105,,,6534872141.424485,45.138111283392504,5.08
2023-05-14,32111901.37331909,1.0989088879653923,581908259.8392556,94038649.88875328,,,6555558587.130777,16.160390972063226,5.08
2023-05-15,34480691.51786071,1.1607268926318264,613922798.1246532,215749196.17063692,,,6559322425.545659,35.14272426918904,5.08
2023-05-16,35744905.869947344,1.2148245699756746,642057577.7481537,330968347.82282114,,,6563699752.024027,51.54807906537053,5.08
2023-05-17,31569288.13260818,1.1654712570041563,615627648.6858141,205023386.00742084,,,6727036681.86654,33.30314784351972,5.08
2023-05-18,28011460.922214,1.2137379181339818,638355492.8665025,257130613.8946596,,,7015244432.703265,40.28015999988154,5.08
2023-05-19,24216268.67491645,1.1437684965614368,608424932.429319,114791181.66085409,,,7115897237.1983385,18.866942418437038,5.08
2023-05-20,23568789.43874468,1.132540771643802,602342135.3570111,67041016.472955614,,,7144966109.26076,11.13005591634729,5.08
2023-05-21,22463447.512155488,1.128792439558394,596271422.1070783,65169899.474980704,,,7157602096.918591,10.92956949784481,5.08
2023-05-22,24487537.49509381,1.0731953393699492,571102577.3127801,92323368.65177116,,,7186172418.264633,16.165811943308338,5.08
2023-05-23,23197440.533954065,1.0589647989622972,559481050.3989662,108892319.73151384,,,7210517533.55703,19.463093460245467,5.08
2023-05-24,22772489.87791748,1.057345369919909,558419791.5427227,123214315.72577676,,,7235050076.243062,22.064818903602575,5.08
2023-05-25,20249865.18245294,0.9859535265581614,520524718.1781283,228023011.6681132,,,7290286131.321206,43.80637531800779,5.08
2023-05-26,20230948.752068795,0.9864726642611362,521761830.1357402,131688903.53783162,,,7291824551.501112,25.23927507375765,5.08
2023-05-27,18478426.379964363,0.9945585216130004,525355230.8977198,97780762.12037791,,,7293980541.392254,18.612313415684753,5.08
2023-05-28,19208107.895810027,1.0026053211586403,529619890.73234135,70058258.50082897,,,7295147559.056238,13.228026312220761,5.08
2023-05-29,19288882.69838187,1.0639919210290905,562774155.1102034,129158742.77271084,,,7299265808.70669,22.950368562575292,5.08
2023-05-30,19244668.813674383,1.0430039573926395,552015905.6495198,233025095.8870872,,,7289775047.599861,42.213474920238454,5.08
2023-05-31,18935331.36716751,1.004961600586773,531980984.24736047,153348696.68822634,,,7315727619.322457,28.82597333910008,5.08
2023-06-01,19520294.104729325,0.9782248126191638,518537296.58556825,76930674.35340461,,,7314914405.569904,14.836092767091754,5.08
2023-06-02,19290229.6786293,0.9460909620025356,500389366.7686001,64604991.81030515,,,7316817099.007723,12.910944176833612,5.08
2023-06-03,19486589.739827435,0.9490422096106056,500871012.3592667,150726694.0156586,,,7318349995.0045395,30.09291619925985,5.08
2023-06-04,19547094.99143254,0.9349483311341398,494510048.47329545,106904005.85095344,,,7320060966.752826,21.61816654302556,5.08
2023-06-05,19649279.41862721,0.963233228037502,510702163.1825978,82209934.33655794,,,7318081651.685742,16.097432175387983,5.08
2023-06-06,18324493.745471563,0.8187850614245712,437261118.380187,197052033.42101687,,,7346612604.266828,45.06507099258831,5.08
2023-06-07,18442066.830569062,0.8385264996449133,443496956.4992561,163744550.82895708,,,7369192712.58241,36.92123439165738,5.08
2023-06-08,18617109.471837822,0.7632292249205819,403156331.9896886,122162786.76992837,,,7369192712.58241,30.301591982202304,5.08
2023-06-09,16545550.66240831,0.7395497079384044,391105931.03943735,130773289.98851427,,,7383561117.897843,33.436795407566365,5.08
2023-06-10,18267250.08188238,0.7458647507376053,393813187.2043903,116584925.01146224,,,7390879540.187396,29.604119110149124,5.08
2023-06-11,13064924.620775608,0.6175099248475145,326197748.9755042,240465818.5501023,,,7391979561.0724,73.71780440096171,5.08
2023-06-12,13761920.465889232,0.609277693383773,317943382.69168323,88603072.62576109,,,7396785337.598893,27.867563047123223,5.08
