Date,TVL,price,market_cap,total_volume,StablesMCap,StakingRewards,StakedAmount,Liquidity,InterestRate
2022-12-05,570709968.0198247,13.77680995818705,5008063958.883705,173958273.40331942,1999544249.0,7.365173084134372,364450237.80200076,3.4735633336858305,3.83
2022-12-06,568409607.2954853,13.873608444994208,5053925412.5079,383499016.80148494,1970423036.0,7.375923221389395,364450237.57599556,7.588141602809724,3.83
2022-12-07,571517802.9103065,14.297707876898496,5195420302.808301,333400205.3605979,1969092168.0,7.273073286376001,369467274.18045104,6.417194104207195,3.83
2022-12-08,565191171.8154272,13.536826034301908,4939250221.600364,272839148.557638,1962252927.0,7.30290253019453,369467274.04119456,5.523898088103654,3.83
2022-12-09,564916461.5538425,13.693154351693549,5016573038.668547,236384884.0596055,1960793352.0,7.253495080538707,373684985.44392323,4.712078987737507,3.83
2022-12-10,565959431.0594318,13.612942245486757,4985978110.515763,257533932.18985865,1956684567.0,7.292099150912924,373684980.58823746,5.165163714752422,3.83
2022-12-11,566091541.509722,13.585881060448472,4967608679.209892,123957064.3412863,1956627453.0,7.335056727130787,373684980.51518494,2.4953065417584765,3.83
2022-12-12,562440429.5662317,13.43947528747435,4920995808.77367,132233094.81496388,1956418515.0,7.338654185512075,375286416.3882939,2.6871206551162827,3.83
2022-12-13,559418459.0653851,13.323956780887803,4889774456.96242,250950456.2868181,1955611806.0,7.371913950247662,375286416.26501834,5.132147883211594,3.83
2022-12-14,568160848.372028,13.828059313467737,5067860068.029484,388863061.30960846,1879987506.0,7.381503736936172,375515611.36704564,7.673121516569588,3.83
2022-12-15,571726150.4476202,14.149132608950133,5187094164.825271,531056515.2151283,1871131286.0,7.397102995430199,375515611.01548225,10.238034983369483,4.33
2022-12-16,570605246.9919069,13.99445500184834,5134598270.270708,320493477.5260672,1866000252.0,7.560597964189249,366771060.79399407,6.2418413409618125,4.33
2022-12-17,513678643.5436641,12.272262832879411,4487828854.561585,416039758.06094825,1857513167.0,7.5549775087698405,366771060.4766734,9.270401602727585,4.33
2022-12-18,512986850.163589,12.525815065018056,4589791879.193693,277076734.499642,1855990408.0,7.559347692255147,366771060.0589068,6.036803885502477,4.33
2022-12-19,510779923.6205388,12.416580463138258,4577684410.907368,127947867.99234845,1855608556.0,7.526973900109479,367973017.2875429,2.795034705483055,4.33
2022-12-20,504355862.2349,11.935662354331416,4386451838.861884,240138137.9481924,1845334850.0,7.524481395649543,365363517.3413813,5.474541765640336,4.33
2022-12-21,459618077.1799943,12.280549822837152,4505699073.905926,203088901.0244321,1840686533.0,7.530749672163744,365363514.35309124,4.507378271234107,4.33
2022-12-22,461139243.77622765,12.119428779139206,4442285590.081545,189500696.85764608,1842550394.0,7.530749672163744,365363514.35309124,4.2658377768586355,4.33
2022-12-23,433369114.5849167,11.794712289114807,4304981639.738414,205996063.58829957,1838821310.0,7.530749672163744,377245420.33213115,4.785062535152104,4.33
2022-12-24,451970989.146245,11.800554937016996,4327532615.708606,177437763.39524356,1834531994.0,7.530749672163744,377264847.3212356,4.100206264215279,4.33
2022-12-25,447530706.519269,11.470319693968513,4207271979.819264,226479857.46658057,1832170825.0,7.530749672163744,377264847.30525553,5.383057205546043,4.33
2022-12-26,445320971.1389796,11.400966653702737,4185139946.6090064,112713128.3584248,1832501119.0,7.530749672163744,377264847.30525553,2.6931746559574474,4.33
2022-12-27,440955130.9020754,11.301306466517868,4147178331.195879,151024935.72843203,1825192489.0,7.530749672163744,377264847.30525553,3.6416310963141663,4.33
2022-12-28,441447968.9723812,11.080348903525168,4063717880.57174,260619507.5239311,1824225300.0,7.530749672163744,377264847.30525553,6.413326790472559,4.33
2022-12-29,459382410.6514133,9.770824845767208,3585609635.8001738,524688006.4445435,1838007021.0,7.530749672163744,377264847.30525553,14.633160319680275,4.33
2022-12-30,418170652.44205856,9.59779522044854,3537484124.7943234,838317810.1546487,1838691712.0,7.530749672163744,383423518.17458034,23.698136318940797,4.33
2022-12-31,419917887.08035487,9.888231243760044,3630516626.225645,996392621.605559,1823082845.0,7.530749672163744,383423517.6107088,27.444926554197547,4.33
2023-01-01,418558754.93322456,9.961462943297745,3663707629.8526206,328903351.5201616,1820092077.0,7.530749672163744,381585476.6416401,8.977336205547394,4.33
2023-01-02,417529065.10762537,9.973949402565085,3670345897.629763,220369604.5270944,1819565603.0,7.530749672163744,381585476.34943163,6.004055494317435,4.33
2023-01-03,435605212.6881362,11.266377430112357,4150541190.495974,612350127.506016,1817817611.0,7.530749672163744,384192434.0557889,14.753500794262505,4.33
2023-01-04,473206598.6408476,13.35539239265287,4897985570.664733,1332758654.0819988,1817648418.0,7.530749672163744,384192433.60606176,27.210342596030202,4.33
2023-01-05,471246366.86313415,13.456292702243212,4953205509.879085,1282105634.6437464,1817857713.0,7.530749672163744,384192433.60606176,25.884361795338563,4.33
2023-01-06,477047379.6353565,13.4384801751579,4943576397.427822,597269711.7742606,1817625703.0,7.530749672163744,384600081.1103582,12.081733218182373,4.33
2023-01-07,474196312.3522122,13.52449342211224,4984816083.874325,488298544.71331793,1813521660.0,7.530749672163744,384600081.0395889,9.795718367482879,4.33
2023-01-08,466088509.7773627,13.088904148424348,4837378850.913317,206848508.91488263,1814442331.0,7.530749672163744,384580708.49841595,4.276045256943826,4.33
2023-01-09,501694607.9301634,14.366071146091024,5151917607.84378,641916931.2187709,1814053449.0,7.530749672163744,384779580.5300021,12.459767024252372,4.33
2023-01-10,525439619.44371575,16.302299779948743,6031956017.044448,1889438468.2886295,1802602396.0,7.530749672163744,384779580.5300021,31.323810434785315,4.33
2023-01-11,519141759.463087,16.203193608411635,6001548952.666129,854036815.4897147,1808880727.0,7.530749672163744,384779580.5300021,14.23027325487893,4.33
2023-01-12,533630852.6123138,16.463404027248835,6106281178.181655,749738092.7270372,1804399048.0,7.530749672163744,384508463.5824581,12.278145582386959,4.33
2023-01-13,527861049.1772538,16.615747688335087,6160624328.048672,948123277.608364,1802089434.0,7.530749672163744,384508463.38841325,15.390051837630464,4.33
2023-01-14,579222129.2476826,18.279734593696567,6767551967.350333,1221076768.198037,1799226987.0,7.530749672163744,385023457.1288045,18.043108853674887,4.33
2023-01-15,640630384.8690279,24.302862020252288,9066218089.522646,4130184710.826154,1803287254.0,7.530749672163744,385023457.1288045,45.555761730452886,4.33
2023-01-16,634049348.4730238,22.837523286781188,8465167529.981883,1967106481.9434116,1801650703.0,7.530749672163744,385023457.1288045,23.237655663356037,4.33
2023-01-17,626729047.1127077,23.58595194500377,8762954564.82465,1775938541.45958,1789726035.0,7.530749672163744,385023457.1288045,20.266435576288046,4.33
2023-01-18,620503554.2774143,22.88158744195828,8525510205.462621,1033549762.1336452,1783925218.0,7.530749672163744,385023457.1288045,12.12302533485222,4.33
2023-01-19,566966807.546864,20.85763434507722,7710048711.615839,1543991743.304109,1806454153.0,7.530749672163744,385023457.1288045,20.025706724497798,4.33
2023-01-20,572605511.5098624,21.41456003084829,7934995923.191625,898504341.2684329,1811724672.0,7.530749672163744,385023457.1288045,11.323311945786548,4.33
2023-01-21,633447609.8633565,25.575834872318875,9489394201.957804,1527407710.515736,1822160711.0,7.530749672163744,385023457.1288045,16.09594541030458,4.33
2023-01-22,629695172.3645475,24.66528659481628,9143727538.633389,2096626033.2535572,1822339715.0,7.530749672163744,385023457.1288045,22.929664345258,4.33
2023-01-23,620944070.0732075,24.271834895555187,9004757973.453108,970991825.3141448,1824465961.0,7.197161027295163,378351978.2264288,10.783097426679564,4.33
2023-01-24,614708616.0172421,24.42662802224712,9057978593.358006,917151760.5324672,1814954147.0,7.291772924100353,375314745.8730057,10.125346964332554,4.33
2023-01-25,596022005.4041567,22.78934007599917,8470454667.826591,855305584.5316638,1771827665.0,7.272196033449038,375314743.2088834,10.097516816663681,4.33
2023-01-26,646886643.102419,24.66040314512689,9151912233.305304,1389562422.6066904,1792993060.0,7.260365636980054,374250514.3264816,15.183301447645507,4.33
2023-01-27,608230808.0053294,24.36322901881959,9052529628.29716,811737989.6856995,1762108859.0,7.250753590182494,374250509.2539223,8.966974127853728,4.33
2023-01-28,619124484.5974603,24.413747574727985,9066608034.902922,702646248.4944212,1761808158.0,7.232357590607876,374250509.2105475,7.7498249156631225,4.33
2023-01-29,613193001.1199617,23.986175814200923,8888774937.513983,522601581.6915137,1760307987.0,7.150588769833275,377701096.7601098,5.879343164443707,4.33
2023-01-30,641477058.1551672,26.177676356517782,9723380871.434278,1086841729.8600228,1760485377.0,7.122881269496527,377701093.8905289,11.1776114114072,4.33
2023-01-31,601568094.3672979,23.963335339722715,8894199458.02625,1111636437.09002,1766154097.0,7.063260913379811,377701093.532117,12.49844285970969,4.33
2023-02-01,600841918.2475841,23.961391317370342,8896873315.819334,636667495.0187764,1766305851.0,7.03086778628493,377804307.9201177,7.156081382958797,4.33
2023-02-02,625608332.998015,24.983305840269857,9295594682.001568,1017077833.8746504,1761363829.0,7.040279068267841,377804305.2354507,10.941503676402215,4.58
2023-02-03,608015731.9270625,24.31948995599126,9062290851.69266,1066576080.9274372,1762114672.0,7.0559556946528215,377161627.11495143,11.769386994770992,4.58
2023-02-04,614807336.7479708,24.68649699930336,9209669774.762846,781139212.0640733,1751984693.0,7.0612726983052685,377161627.11495143,8.481728782552228,4.58
2023-02-05,605802248.6943251,24.352020663436917,9084646376.720589,350243684.4482565,1752877371.0,7.0612726983052685,377161627.11495143,3.855336464672485,4.58
2023-02-06,596394689.7903136,23.513631913468004,8775453234.400503,638580954.9262303,1753211194.0,7.0612726983052685,377161627.11495143,7.276899983045207,4.58
2023-02-07,586469777.0020353,22.716952472159907,8463616399.329708,463322357.86849886,1763328609.0,7.0612726983052685,377161627.11495143,5.474283521464803,4.58
2023-02-08,605781778.9352793,23.90420986102095,8928209652.21195,707393494.1668731,1764808484.0,7.0612726983052685,377161627.11495143,7.923128171521123,4.58
2023-02-09,592233268.4395984,23.20655514024452,8681217220.957706,581769819.4598817,1754937902.0,7.0612726983052685,377161627.11495143,6.701477507732506,4.57
2023-02-10,549199680.3313888,20.437682981228345,7674814944.971446,808728417.656008,1749520596.0,7.0612726983052685,377161627.11495143,10.537432152496242,4.58
2023-02-11,548498495.9061254,20.12384392696828,7582538971.715706,684166038.4850869,1750005335.0,7.0612726983052685,377161627.11495143,9.022914897465807,4.58
2023-02-12,552077922.3738265,20.84493733301781,7825374946.872857,278031093.4530366,1748331027.0,7.0612726983052685,377161627.11495143,3.5529427706737837,4.58
